Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
07/06/2025,18,4,N,LZ_WEST,LZ,24.09
07/06/2025,19,1,N,LZ_WEST,LZ,22.88
07/06/2025,19,2,N,LZ_WEST,LZ,26.03
07/06/2025,19,3,N,LZ_WEST,LZ,31.57
07/06/2025,19,4,N,LZ_WEST,LZ,32.69
07/06/2025,20,1,N,LZ_WEST,LZ,31.50
07/06/2025,20,2,N,LZ_WEST,LZ,41.75
07/06/2025,20,3,N,LZ_WEST,LZ,49.04
07/06/2025,20,4,N,LZ_WEST,LZ,53.57
07/06/2025,21,1,N,LZ_WEST,LZ,58.13
07/06/2025,21,2,N,LZ_WEST,LZ,88.64
07/06/2025,21,3,N,LZ_WEST,LZ,94.57
07/06/2025,21,4,N,LZ_WEST,LZ,69.19
07/06/2025,22,1,N,LZ_WEST,LZ,83.56
07/06/2025,22,2,N,LZ_WEST,LZ,82.11
07/06/2025,22,3,N,LZ_WEST,LZ,75.17
07/06/2025,22,4,N,LZ_WEST,LZ,75
07/06/2025,23,1,N,LZ_WEST,LZ,75.03
07/06/2025,23,2,N,LZ_WEST,LZ,67.79
07/06/2025,23,3,N,LZ_WEST,LZ,53.50
07/06/2025,23,4,N,LZ_WEST,LZ,51.90
07/06/2025,24,1,N,LZ_WEST,LZ,52.29
07/06/2025,24,2,N,LZ_WEST,LZ,59.53
07/06/2025,24,3,N,LZ_WEST,LZ,58.39
07/06/2025,24,4,N,LZ_WEST,LZ,50.17
